indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Exports of goods and services,Sweden,"Chain linked volumes, index 2010=100",SWE_XTR_ESTAT,72.524,72.905,74.099,77.237,85.902,91.967,99.615,104.01,105.054,90.049,100,106.776,107.532,107.396,111.604,117.285,120.876,124.861,130.307,139.37,131.805,147.039,155.94,159.937,163.716,NA
Exports of goods and services,Iceland,"Chain linked volumes, index 2010=100",ISL_XTR_ESTAT,58.074,61.983,64.196,64.748,70.095,75.265,71.866,88.837,91.94,99.253,100,102.915,106.133,112.742,116.99,126.834,142.366,149.229,152.519,145.717,101.495,114.073,143.808,149.388,146.098,NA
Exports of goods and services,Liechtenstein,"Chain linked volumes, index 2010=100",LIE_XTR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exports of goods and services,Norway,"Chain linked volumes, index 2010=100",NOR_XTR_ESTAT,97.546,102.014,101.421,101.083,102.253,102.823,102.236,103.033,104.175,99.66,100,99.486,101.532,99.855,103.683,107.754,108.172,109.898,108.208,110.498,107.925,114.499,120.509,121.039,127.38,NA
Exports of goods and services,Switzerland,"Chain linked volumes, index 2010=100",CHE_XTR_ESTAT,69.369,69.313,67.959,66.969,73.501,78.094,83.386,92.871,96.872,88.852,100,104.12,104.514,119.013,113.396,117.766,124.673,123.665,128.292,127.609,121.077,137.58,147.258,143.354,145.799,NA
Exports of goods and services,United Kingdom,"Chain linked volumes, index 2010=100",GBR_XTR_ESTAT,77.939,79.644,80.505,82.38,86.217,93.023,104.857,102.746,103.149,94.497,100,107.224,107.912,108.835,109.091,112.145,115.219,121.45,125.13,128.456,NA,NA,NA,NA,NA,NA
Exports of goods and services,Bosnia & Herzegovina,"Chain linked volumes, index 2010=100",BIH_XTR_ESTAT,43.547,46.065,43.681,49.401,58.036,67.164,79.772,89.649,90.676,87.796,100,104.644,104.756,112.987,117.69,129.204,141.307,158.011,169.512,170.367,145.081,181.907,203.352,200.815,197.577,NA
Exports of goods and services,Montenegro,"Chain linked volumes, index 2010=100",MNE_XTR_ESTAT,NA,NA,NA,NA,NA,NA,82.097,106.709,108.479,94.748,100,115.133,111.218,113.94,112.305,119.2,121.595,123.764,132.321,140.012,73.935,132.445,158.058,172.337,165.526,NA
Exports of goods and services,North Macedonia,"Chain linked volumes, index 2010=100",MKD_XTR_ESTAT,68.192,58.513,55.669,55.855,65.457,77.192,86.558,98.494,93.897,80.854,100,116.138,118.405,125.62,146.322,158.723,173.137,187.589,211.609,230.393,205.207,234.507,259.366,251.614,241.657,NA
Exports of goods and services,Albania,"Chain linked volumes, index 2010=100",ALB_XTR_ESTAT,30.656,35.394,36.652,40.967,48.539,60.318,70.528,84.008,80.122,83.897,100,106.674,106.987,108.687,108.503,106.059,114.09,128.882,134.638,137.977,99.722,151.675,177.524,192.71,192.921,NA
Exports of goods and services,Serbia,"Chain linked volumes, index 2010=100",SRB_XTR_ESTAT,25.431,39.163,46.737,59.849,65.775,77.98,83.513,85.935,96.727,85.572,100,105.629,108.647,128.247,133.72,145.812,161.684,174.398,190.17,203.96,194.608,234.362,274.277,281.761,296.385,NA
Exports of goods and services,Turkey,"Chain linked volumes, index 2010=100",TUR_XTR_ESTAT,57.045,59.918,65.017,70.181,78.892,85.603,90.678,97.124,100.916,97.732,100,113.375,130.408,136.564,146.164,153.554,150.182,168.881,184.968,193.613,161.836,202.433,223.683,218.594,218.753,NA
Exports of goods and services,Ukraine,"Chain linked volumes, index 2010=100",UKR_XTR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,102.669,96.873,89.064,76.379,66.324,65.118,67.674,66.757,71.631,67.469,61.69,35.752,33.625,NA,NA
Imports of goods and services,Belgium,"Chain linked volumes, index 2010=100",BEL_MTR_ESTAT,76.92,76.339,77.145,78.271,83.207,88.555,93.108,98.303,102.044,91.218,100,105.715,105.054,105.015,110.709,115.359,124.326,130.995,134.058,136.049,126.901,143.184,148.165,136.852,135.089,NA
Imports of goods and services,Bulgaria,"Chain linked volumes, index 2010=100",BGR_MTR_ESTAT,43.11,48.526,51.579,59.393,74.98,85.738,99.384,121.86,127.788,100.303,100,109.616,115.512,120.52,126.767,132.764,139.439,149.621,158.006,166.496,159.483,176.536,203.623,192.518,200.084,NA
Imports of goods and services,Czechia,"Chain linked volumes, index 2010=100",CZE_MTR_ESTAT,41.731,46.468,48.786,53.404,67.067,75.438,84.101,94.93,97.947,87.099,100,106.715,109.53,109.599,120.579,128.493,131.792,139.741,147.443,149.347,136.733,155.444,164.69,162.712,163.587,NA
Imports of goods and services,Denmark,"Chain linked volumes, index 2010=100",DNK_MTR_ESTAT,68.985,70.64,75.142,74.366,79.686,89.176,101.609,107.509,112.391,98.702,100,108.06,111.14,112.761,117.348,122.116,127.35,132.854,140.434,144.722,139,152.277,161.38,165.387,172.238,NA
Imports of goods and services,Germany,"Chain linked volumes, index 2010=100",DEU_MTR_ESTAT,71.512,72.02,69.784,73.227,78.259,82.935,91.766,97.23,98.856,88.907,100,106.671,106.226,108.119,111.868,117.827,122.236,127.294,133.685,138.323,127.065,138.92,149.428,147.332,146.506,151.792
Imports of goods and services,Estonia,"Chain linked volumes, index 2010=100",EST_MTR_ESTAT,47.216,53.054,60.103,68.519,79.575,92.863,112.089,126.64,118.842,82.47,100,127.188,139.511,142.923,146.658,143.522,152.217,157.575,167.795,173.957,175.418,216.71,227.666,211.015,211.804,NA
Imports of goods and services,Ireland,"Chain linked volumes, index 2010=100",IRL_MTR_ESTAT,65.191,73.732,77.668,75.79,77.233,87.06,95.158,104.056,101.157,99.435,100,102.642,101.601,110.289,126.155,167.404,196.683,204.965,200.788,281.84,282.374,256.353,294.729,301.299,309.392,NA
Imports of goods and services,Greece,"Chain linked volumes, index 2010=100",GRC_MTR_ESTAT,93.416,94.742,89.114,94.792,101.422,101.566,111.504,125.91,129.975,104.456,100,90.218,85.263,82.185,87.804,94.984,97.008,103.943,112.519,115.692,107.252,125.885,139.663,139.73,146.401,NA
Imports of goods and services,Spain,"Chain linked volumes, index 2010=100",ESP_MTR_ESTAT,77.912,80.758,83.729,88.779,97.362,104.139,112.692,121.977,115.258,94.164,100,99.408,93.578,93.318,99.665,104.74,107.512,114.71,119.171,120.742,102.451,117.8,126.908,126.866,130.606,138.846
Imports of goods and services,France,"Chain linked volumes, index 2010=100",FRA_MTR_ESTAT,75.394,77.125,78.929,79.463,84.235,89.5,94.664,99.845,101.108,92.079,100,105.87,106.22,109.137,113.791,120.413,124.989,130.556,134.682,137.29,120.489,130.445,142.246,141.866,140.15,NA
Imports of goods and services,Croatia,"Chain linked volumes, index 2010=100",HRV_MTR_ESTAT,66.406,74.334,87.815,98.04,103.222,108.616,117.563,124.699,129.487,103.104,100,102.535,100.113,103.401,106.95,116.869,124.478,135.092,145.11,154.785,135.717,159.157,201.786,193.344,209.556,NA
Imports of goods and services,Italy,"Chain linked volumes, index 2010=100",ITA_MTR_ESTAT,84.112,86.109,86.651,87.296,91.224,94.423,102.062,107.524,103.099,89.299,100,100.153,91.98,89.5,92.734,98.599,102.47,108.43,111.642,110.386,96.609,112.02,126.449,124.055,123.586,NA
Imports of goods and services,Cyprus,"Chain linked volumes, index 2010=100",CYP_MTR_ESTAT,75.972,76.198,75.438,75.062,80.619,81.427,86.07,94.341,106.59,90.256,100,97.408,93.869,89.592,96.508,104.289,114.889,131.291,136.968,150.004,154.902,185.247,240.711,243.467,255.526,NA
Imports of goods and services,Latvia,"Chain linked volumes, index 2010=100",LVA_MTR_ESTAT,54.013,62.421,64.107,71.662,86.447,101.121,123.131,144.583,128.354,88.701,100,122.576,128.973,128.808,132.671,134.016,139.631,151.588,161.182,164.449,162.603,187.221,205.78,195.402,191.942,NA
Imports of goods and services,Lithuania,"Chain linked volumes, index 2010=100",LTU_MTR_ESTAT,38.322,45.878,55.112,60.401,71.546,85.611,97.855,108.275,119.99,85.609,100,114.217,120.122,127.103,124.801,136.66,142.187,158.108,167.5,177.711,170.004,202.601,228.933,216.866,222.164,NA
Imports of goods and services,Luxembourg,"Chain linked volumes, index 2010=100",LUX_MTR_ESTAT,65.223,69.678,68.64,71.141,77.612,82.383,91.85,94.205,96.259,87.525,100,106.746,108.625,115.392,124.896,132.024,136.978,138.01,142.782,153.414,155.637,176.483,180.729,182.359,157.555,NA
Imports of goods and services,Hungary,"Chain linked volumes, index 2010=100",HUN_MTR_ESTAT,47.596,50.358,54.725,59.917,70.764,76.405,87.933,100.27,106.162,91.084,100,104.07,100.851,105.039,116.475,123.081,127.323,138.042,147.682,159.772,154.014,165.888,184.003,199.278,191.532,NA
Imports of goods and services,Malta,"Chain linked volumes, index 2010=100",MLT_MTR_ESTAT,80.516,68.244,68.538,70.685,72.897,77.279,88.708,94.501,99.898,86.969,100,106.617,115.278,112.346,114.732,151.493,161.661,176.473,205.397,227.08,234.832,242.408,288.048,282.359,297.188,NA
Imports of goods and services,Netherlands,"Chain linked volumes, index 2010=100",NLD_MTR_ESTAT,73.694,75.526,75.77,77.414,82.409,86.901,93.507,100.771,100.083,92.214,100,104.636,107.663,110.772,115.15,132.886,129.893,139.789,147.5,153.413,147.064,156.677,163.498,157.093,157.232,161.158
Imports of goods and services,Austria,"Chain linked volumes, index 2010=100",AUT_MTR_ESTAT,72.217,75.967,76.188,78.86,85.149,89.794,95.051,100.407,101.365,89.303,100,105.954,106.932,107.754,110.984,115.022,119.31,125.584,131.994,135.099,122.165,139.439,149.103,142.621,138.939,NA
Imports of goods and services,Poland,"Chain linked volumes, index 2010=100",POL_MTR_ESTAT,54.439,51.597,52.996,57.941,62.688,66.803,78.892,91.32,99.842,87.177,100,105.379,104.422,106.26,116.039,122.539,132.017,145.002,155.946,160.97,157.009,182.618,195.036,192.125,200.706,NA
Imports of goods and services,Portugal,"Chain linked volumes, index 2010=100",PRT_MTR_ESTAT,79.964,80.78,80.57,80.379,86.342,88.24,94.933,100.262,102.517,92.774,100,93.804,87.897,92.034,99.405,107.422,113.03,122.105,128.096,134.582,118.983,133.569,148.617,152.089,159.322,NA
Imports of goods and services,Romania,"Chain linked volumes, index 2010=100",ROU_MTR_ESTAT,23.167,28.61,31.663,37.503,46.856,56.107,71.076,100.428,111.674,88.437,100,109.693,107.523,117.023,127.368,138.204,161.13,179.606,195.519,212.747,201.67,231.045,252.42,248.595,258.659,NA
Imports of goods and services,Slovenia,"Chain linked volumes, index 2010=100",SVN_MTR_ESTAT,58.688,60.814,64.235,68.388,77.94,83.659,94.023,110.061,114.562,93.5,100,105.027,101.693,103.494,107.598,113.272,120.778,133.667,143.14,149.823,136.163,160.376,175.219,167.276,174.446,NA
Imports of goods and services,Slovakia,"Chain linked volumes, index 2010=100",SVK_MTR_ESTAT,40.146,47.722,50.339,54.419,66.702,76.994,91.675,100.513,104.671,85.034,100,107.189,109.558,115.061,119.759,130.704,136.777,141.963,149.101,152.614,140.553,156.928,163.406,150.858,154.782,NA
Imports of goods and services,Finland,"Chain linked volumes, index 2010=100",FIN_MTR_ESTAT,69.309,70.268,73.284,76.294,82.492,91.717,97.76,104.977,113.339,94.074,100,106.211,107.406,107.543,106.576,108.851,115.011,119.997,126.995,130.011,122.054,130.592,142.683,132.928,131.899,NA
Imports of goods and services,Sweden,"Chain linked volumes, index 2010=100",SWE_MTR_ESTAT,74.329,73.312,72.614,74.974,80.142,85.622,92.617,100.827,103.682,89.145,100,106.71,107.298,108.237,115.275,121.952,128.818,134.476,140.099,142.879,133.875,151.793,166.671,165.672,169.706,NA
Imports of goods and services,Iceland,"Chain linked volumes, index 2010=100",ISL_MTR_ESTAT,101.834,91.675,89.172,98.317,112.693,144.052,158.198,154.618,123.211,97.744,100,106.789,111.361,111.365,122.528,138.431,158.97,178.682,179.726,163.329,130.298,156.699,192.146,188.424,196.275,NA
Imports of goods and services,Liechtenstein,"Chain linked volumes, index 2010=100",LIE_MTR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imports of goods and services,Norway,"Chain linked volumes, index 2010=100",NOR_MTR_ESTAT,67.919,69.26,69.634,70.209,76.632,82.693,89.992,98.747,103.17,92.606,100,103.935,106.986,112.381,114.831,116.993,119.254,121.449,123.137,129.708,116.926,119.058,134.844,132.787,138.446,NA
Imports of goods and services,Switzerland,"Chain linked volumes, index 2010=100",CHE_MTR_ESTAT,72.556,73.749,72.098,72.333,75.912,83.495,86.153,91.142,95.077,92.609,100,109.408,107.021,119.694,111.772,117.091,123.218,122.551,123.229,123.655,120.232,126.376,134.201,134.251,135.051,NA
Imports of goods and services,United Kingdom,"Chain linked volumes, index 2010=100",GBR_MTR_ESTAT,74.663,79.259,83.436,84.993,90.279,96.518,106.484,103.158,100.728,92.66,100,101.632,103.617,106.805,110.382,116.356,120.948,124.151,127.527,131.013,NA,NA,NA,NA,NA,NA
Imports of goods and services,Bosnia & Herzegovina,"Chain linked volumes, index 2010=100",BIH_MTR_ESTAT,64.193,68.656,70.602,75.006,79.908,88.243,87.977,103.441,113.921,97.581,100,102.917,103.55,103.492,111.332,113.316,121.469,130.762,135.924,137.711,119.223,143.78,152.735,150.82,157.924,NA
Imports of goods and services,Montenegro,"Chain linked volumes, index 2010=100",MNE_MTR_ESTAT,NA,NA,NA,NA,NA,NA,85.082,122.353,143.613,103.734,100,100.593,99.468,98.968,100.758,105.47,124.391,134.881,147.341,151.339,118.602,137.63,169.676,183.573,194.114,NA
Imports of goods and services,North Macedonia,"Chain linked volumes, index 2010=100",MKD_MTR_ESTAT,63.626,57.463,62.36,58.672,71.206,78.089,85.43,98.229,103.266,90.607,100,107.983,116.88,119.413,136.307,149.863,166.537,175.26,194.072,213.639,190.435,218.613,248.345,223.031,220.006,NA
Imports of goods and services,Albania,"Chain linked volumes, index 2010=100",ALB_MTR_ESTAT,43.03,49.579,54.446,57.238,61.941,71.972,78.238,95.23,99.997,100.576,100,105.791,98.459,97.826,102.476,99.736,105.693,112.69,114.634,117.542,94.28,124.882,139.265,139.52,147.872,NA
Imports of goods and services,Serbia,"Chain linked volumes, index 2010=100",SRB_MTR_ESTAT,26.774,45.748,57.935,67.434,88.058,82.913,97.302,113.326,124.869,97.32,100,108.745,110.344,118.262,124.246,132.756,141.212,155.74,173.039,190.078,182.521,214.781,249.268,245.768,265.422,NA
Imports of goods and services,Turkey,"Chain linked volumes, index 2010=100",TUR_MTR_ESTAT,55.573,42.152,51.156,63.097,76.43,85.75,91.908,100.823,97.864,83.796,100,114.517,114.906,126.944,126.937,129.645,133.436,147.696,138.965,131.523,140.523,143.525,155.371,174.094,166.44,NA
Imports of goods and services,Ukraine,"Chain linked volumes, index 2010=100",UKR_MTR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,115.377,119.759,115.584,90.034,75.023,82.001,92.601,95.178,100.647,94.253,107.64,88.892,96.83,NA,NA
Gross domestic product at market prices,Belgium,"Current prices, million units of national currency",BEL_YEN_ESTAT,256376.4,264334.9,273255.9,281200.2,296819.7,310037.6,325151.5,343618.9,351743.1,347734.9,363242.4,378745.4,387934.9,394616.3,404958.3,415538,428467.1,443407.2,459491.8,479444.9,463750.9,506047.2,561309.1,602376.3,620271.8,NA
Gross domestic product at market prices,Bulgaria,"Current prices, million units of national currency",BGR_YEN_ESTAT,14380,15843.2,17419.1,18732.7,21065.9,24039.5,27409.6,32464.2,37246.1,37417.1,38289.4,41479.2,42254.6,42055.5,43024,45797.1,48751.4,52501,55999.7,61194.4,61855.6,71343.9,86078.2,94525.1,104767.2,NA
Gross domestic product at market prices,Czechia,"Current prices, million units of national currency",CZE_YEN_ESTAT,2399700,2591574,2704466,2833197,3087777,3288493,3530252,3856629,4037564,3945505,4032952,4095355,4118386,4169011,4377991,4651813,4843030,5179344,5475773,5888869,5828318,6307755,7049872,7659655,8058158,NA
Gross domestic product at market prices,Denmark,"Current prices, million units of national currency",DNK_YEN_ESTAT,1325982.6,1372276.5,1411479.3,1438893.3,1509674.3,1590078.6,1685240.8,1743144.4,1809720.8,1729529,1812895.8,1848531.1,1892938,1935555.2,1980261.2,2030205.9,2101520.3,2189589.4,2243542.2,2303636.7,2326592.3,2553260.5,2831269.6,2787929.9,2926877.8,NA
Gross domestic product at market prices,Germany,"Current prices, million units of national currency",DEU_YEN_ESTAT,2129660,2195530,2223360,2240810,2293040,2325710,2426180,2542220,2589280,2493970,2615260,2746910,2799280,2866480,2984470,3087030,3195210,3333110,3434030,3537280,3450720,3682340,3989390,4219310,4328970,4470480
Gross domestic product at market prices,Estonia,"Current prices, million units of national currency",EST_YEN_ESTAT,6171.6,6982.1,7824.9,8746.7,9779.6,11345.4,13571.2,16402.2,16618.9,14132.5,14741.8,16741.9,18086.6,19163.2,20365.6,21010.9,22189,24316.1,26438.5,28472.1,27859.3,31453.3,36300.9,38353.4,39847.7,NA
Gross domestic product at market prices,Ireland,"Current prices, million units of national currency",IRL_YEN_ESTAT,108495.3,122089.2,135997.9,145576.9,156260,170306.8,184916.2,197069.4,187283,169519.7,167255.1,173120.4,176621.9,182908.6,200594.9,272282.9,275933.1,308366,335136,363752.6,381728.7,448445.1,520718.4,524728.8,562794.2,NA
Gross domestic product at market prices,Greece,"Current prices, million units of national currency",GRC_YEN_ESTAT,136161.2,147438.7,158902.3,174096,188905.2,194773.4,214298.9,229282.8,238735.4,234322.6,223590.5,203475,185899.2,178113.9,176071.8,175362.9,174448.2,177378.5,180615.7,185181.2,167539.5,184574.6,207008.7,224686.2,236736,NA
Gross domestic product at market prices,Spain,"Current prices, million units of national currency",ESP_YEN_ESTAT,647569,700958,749744,802683,860059,928122,1004976,1077541,1112432,1072990,1077145,1068690,1035964,1025652,1038949,1087112,1122967,1170024,1212276,1253710,1129214,1235474,1375863,1497761,1594330,1685783
Gross domestic product at market prices,France,"Current prices, million units of national currency",FRA_YEN_ESTAT,1473517.3,1530070.9,1578330.4,1622312.8,1696107.7,1762047.7,1846020.8,1937876.3,1989999.7,1935840.2,1996075.1,2062141.4,2088286.7,2120351.9,2153733.1,2201401.6,2231819.2,2291680.5,2355362.8,2432206.8,2318276.2,2508102.3,2653997.2,2826541.5,2919899.9,NA
Gross domestic product at market prices,Croatia,"Current prices, million units of national currency",HRV_YEN_ESTAT,23965.4,25755.8,28297.1,31157.5,33633.2,36181.3,39489.9,43262.1,46554.8,44677.4,44486.1,45178.9,44791.5,45061.5,44867.9,45965.7,47565.9,49732.5,52216.7,54905.5,50744,58343.1,67613,79186.3,85905.2,NA
Gross domestic product at market prices,Italy,"Current prices, million units of national currency",ITA_YEN_ESTAT,1244744.2,1308623.1,1355522.3,1399386,1457356.2,1499073.1,1559864.2,1621714.5,1643718.8,1584106.8,1617944.7,1657362.2,1632898.5,1621260.7,1635870.7,1663277.7,1704856.7,1744493,1777744.4,1804066.8,1670011.9,1842507.4,1998072.6,2142601.7,2199619.4,NA
Gross domestic product at market prices,Cyprus,"Current prices, million units of national currency",CYP_YEN_ESTAT,10595,11416.9,11877,12845.3,13856.4,14822.3,16000,17511.6,19009.5,18675.5,19461.1,19858.1,19495.4,18040.3,17482.8,17944.2,19013.8,20312.4,21807.8,23400.9,22373.6,25679.9,29645.4,32439.2,34770.2,NA
Gross domestic product at market prices,Latvia,"Current prices, million units of national currency",LVA_YEN_ESTAT,6698,7317.7,8135.4,9142.8,10628.9,13102.6,16294.8,21509.3,23351.9,18482.5,17719.6,19117.3,21104.3,21956.2,22790.5,23744.3,24498.2,26017.1,28153.4,29567,29224.3,32283.8,36088.7,39564.2,40359.4,NA
Gross domestic product at market prices,Lithuania,"Current prices, million units of national currency",LTU_YEN_ESTAT,13381.5,14204.1,15206.4,16674.4,18312.8,20986,23999.6,29034.1,32683.1,26973.5,27663.4,31066.4,33240.4,34874,36410.1,37440.7,38820.7,42274.6,45947.4,49239.2,50264.6,56709.1,67081.1,74317,78996.2,NA
Gross domestic product at market prices,Luxembourg,"Current prices, million units of national currency",LUX_YEN_ESTAT,22986,23879.9,25011.1,26227.3,28189.4,30281,34175,37641.9,40009.6,39050.7,42402.7,44323.5,46526.2,49094.5,51791.3,54142.3,56208.1,58168.8,60193.4,62415,64499.2,73039.5,76731.2,82115.5,86180.3,NA
Gross domestic product at market prices,Hungary,"Current prices, million units of national currency",HUN_YEN_ESTAT,13340291,15413047,17440963,19108793,21088678,22572429,24321949,25730258,27233189,26467800,27427573,28492068,28919193,30343344,32826770,34984755,36311882,39335929,43553984,47940496,48807766,55560466,65950424,75292668,81447664,NA
Gross domestic product at market prices,Malta,"Current prices, million units of national currency",MLT_YEN_ESTAT,4120,4267.6,4500,4761.2,4900.7,5140.9,5380.6,5778.2,6236.5,6287.6,6862,7032.8,7479.5,8129.4,8948.5,10221.4,10864.3,12535.7,13678.6,14594.2,14362.4,16680.2,17985.1,20923.4,23125,NA
Gross domestic product at market prices,Netherlands,"Current prices, million units of national currency",NLD_YEN_ESTAT,452191,482941,502901,514901,531573,553122,587444,622775,651299,630173,643022,656013,658232,665567,678627,699175,720175,750861,787273,829767,816463,891550,993820,1050133,1122459,1179660
Gross domestic product at market prices,Austria,"Current prices, million units of national currency",AUT_YEN_ESTAT,212406.8,219373.3,225087.9,230541.9,240541.7,252354.9,265933.7,282208.2,291846.2,286274.1,294050.6,308167,316589.4,321191.7,330113.5,342083.5,355665.6,367294.9,383234.3,395706.8,380317.9,406231.5,449382.2,477837.3,494087.6,NA
Gross domestic product at market prices,Poland,"Current prices, million units of national currency",POL_YEN_ESTAT,751669,785305,814760,850001,937339,993293,1073375,1189430,1290419,1375644,1441650,1563935,1622242,1637768,1710185,1809564,1865960,1996836,2147587,2313929,2362909,2661518,3100850,3415274,3653432,NA
Gross domestic product at market prices,Portugal,"Current prices, million units of national currency",PRT_YEN_ESTAT,128414.4,135775,142554.3,146067.9,152248.4,158552.7,166260.5,175483.4,179102.8,175416.4,179860.4,176318,168538.8,170675.6,173186.7,179392.7,186380.7,195509.1,204997.6,214489.9,201032.7,216493.7,243957.1,270352.6,289428,NA
Gross domestic product at market prices,Romania,"Current prices, million units of national currency",ROU_YEN_ESTAT,80873.1,117391.4,152271.5,191917.6,244688.3,286861.9,342762.6,425691.1,539831.4,530919.6,540447.5,587235,621214.7,631634,668905,712548.6,752129.1,851620.6,953049.2,1059822.1,1063650.7,1186015.4,1384597.8,1590749.4,1759183.3,NA
Gross domestic product at market prices,Slovenia,"Current prices, million units of national currency",SVN_YEN_ESTAT,18731.9,20937.6,23272.6,25376.3,27420.9,28905.7,31294.4,34936.9,37742.1,35830.3,36050.8,36782.2,35933.6,36041.3,37270.9,38493.9,40013.2,42625.5,45462.4,48156.5,46738.7,52032.4,56881.6,64050,67418.1,NA
Gross domestic product at market prices,Slovakia,"Current prices, million units of national currency",SVK_YEN_ESTAT,31632,34307.3,37272.2,41210.9,45996.8,50275.9,56349.1,63180.7,68556.6,64055.1,68726.7,71629.5,73727.6,74642.7,76562.3,80376.3,81621.6,84960.4,90275.9,94547.5,94320.6,101891.6,109959.8,123538.7,130207.5,NA
Gross domestic product at market prices,Finland,"Current prices, million units of national currency",FIN_YEN_ESTAT,136386,144613,148440,151714,158741,164666,172861,187059,194253,181735,188147,197655,200378,203497,205855,210192,215717,224706,231905,238518,236387,248764,266135,273005,275993,NA
Gross domestic product at market prices,Sweden,"Current prices, million units of national currency",SWE_YEN_ESTAT,2408775,2504784,2603427,2701410,2825986,2927127,3117499,3312135,3391873,3324135,3551514,3704817,3724495,3804976,3963666,4230936,4392801,4575114,4777837,5021382,5012855,5417760,5816415,6143187,6387027,NA
Gross domestic product at market prices,Iceland,"Current prices, million units of national currency",ISL_YEN_ESTAT,718563.5,810904.1,863104.9,887115.6,980152.9,1079910.1,1240196.4,1406654.8,1604866.4,1633577.8,1701937.5,1784997.2,1869206.9,1984716.7,2107905.7,2335025.4,2547156,2677408.9,2889194.5,3063414.5,2983972.1,3331536.5,3945587.5,4374514.3,4583292.4,NA
Gross domestic product at market prices,Liechtenstein,"Current prices, million units of national currency",LIE_YEN_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5924.5,6099.3,6032.7,6146.2,6375.2,6544.6,6396.4,6014.1,7230.9,7091.4,7403,NA,NA
Gross domestic product at market prices,Norway,"Current prices, million units of national currency",NOR_YEN_ESTAT,1509132,1566708,1564145,1624095,1788123,1997037,2224871,2360174,2622135,2439712,2605351,2809929,2983082,3090335,3161776,3130183,3116035,3323103,3576581,3596937,3461575,4323931,5732905,5101559,5196606,NA
Gross domestic product at market prices,Switzerland,"Current prices, million units of national currency",CHE_YEN_ESTAT,476794.4,489674.3,489292.8,493651.7,508607.6,528601.2,562159.6,598992.2,622461.8,613318,636172,645812.3,654393.6,666210.4,679021.9,679632.7,688404.2,695842.6,724383.2,731800.8,709854.6,768279.4,819703.7,834189.8,853957,NA
Gross domestic product at market prices,United Kingdom,"Current prices, million units of national currency",GBR_YEN_ESTAT,1095900,1138375,1187671,1256188,1317459,1393038,1470719,1546085,1589259,1548513,1606027,1660141,1711770,1780336,1863008,1919641,1994712,2068757,2141792,2217787,NA,NA,NA,NA,NA,NA
Gross domestic product at market prices,Bosnia & Herzegovina,"Current prices, million units of national currency",BIH_YEN_ESTAT,11819.6,12678.2,13982.4,14728,15998.1,17650.3,20057.2,22547.9,25519.3,24798.5,25365,26231.3,26222.7,26778.8,27358.7,28928.9,30265.1,31802.7,33941.8,35784.9,34727.5,39145.3,45617.9,49920.2,53752.2,NA
Gross domestic product at market prices,Montenegro,"Current prices, million units of national currency",MNE_YEN_ESTAT,NA,NA,NA,NA,NA,NA,2166.3,2687.1,3100,2981.9,3120.5,3238,3169.3,3329.6,3447.2,3615,3936.6,4252.5,4600.9,4898.4,4144.8,4923.2,5944.4,7068.8,7644.5,NA
Gross domestic product at market prices,North Macedonia,"Current prices, million units of national currency",MKD_YEN_ESTAT,248646.4,252393.5,258580.7,268693.6,280786,308447.2,334840.1,372889.2,414890.1,414621.9,437295.5,464186.3,466702.7,501891,527631,558953.6,594794.9,618105.5,660878.2,692682.9,669280.2,729444.5,816083.8,902905.2,964086.7,NA
Gross domestic product at market prices,Albania,"Current prices, million units of national currency",ALB_YEN_ESTAT,516206.8,583125.1,633932.6,700711.6,760444.8,824594.6,897697.7,1005281.3,1112317.1,1171606.5,1256235.3,1308997.9,1324877.4,1352246.8,1402496.1,1444802,1488303.3,1579055.8,1660820.3,1712036.8,1655984.5,1866671.7,2149741.8,2364276.1,2517819.7,NA
Gross domestic product at market prices,Serbia,"Current prices, million units of national currency",SRB_YEN_ESTAT,462777,909984.2,1154699.1,1358614.9,1567285.6,1890285.9,2235824.7,2623862.4,3021363.9,3173313.6,3384054.3,3758417.3,3967883.5,4296737.4,4341966.7,4493630.1,4698762.4,4953979.8,5287993.8,5669235.2,5764147.6,6576024,7460138.8,8817908.5,9748258.7,NA
Gross domestic product at market prices,Turkey,"Current prices, million units of national currency",TUR_YEN_ESTAT,171778,247807.9,362906.9,473368.5,584693.7,682962.3,799459.6,892805.4,1009220.9,1013510.2,1176048,1413984.5,1590049.3,1831744,2062358.2,2354059.1,2629988,3151529.2,3806479.2,4402050.3,5141710.6,7433799.9,15325857.5,27091469.1,44587225.4,NA
Gross domestic product at market prices,Ukraine,"Current prices, million units of national currency",UKR_YEN_ESTAT,176128,211175,234138,277355,357544,457325,565018,751106,990819,947042,1079346,1299991,1404669,1465198,1586915,1988544,2385367,2981227,3560302,3977198,4222026,5450849,5239114,6627961,NA,NA
