indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gross domestic product at market prices,Switzerland,"Chain linked volumes, index 2010=100",CHE_YER_ESTAT,82.82,84.139,84.459,84.219,86.397,88.948,92.625,96.315,98.753,96.842,100,101.408,102.548,104.431,107.087,108.644,110.721,112.294,116.03,117.324,114.678,121.761,126.065,127.105,128.872,NA
Gross domestic product at market prices,United Kingdom,"Chain linked volumes, index 2010=100",GBR_YER_ESTAT,85.339,87.669,89.579,92.554,94.67,97.469,100.094,102.457,102.171,97.968,100,101.276,102.724,104.97,107.975,110.527,112.43,114.387,115.82,117.407,NA,NA,NA,NA,NA,NA
Gross domestic product at market prices,Bosnia & Herzegovina,"Chain linked volumes, index 2010=100",BIH_YER_ESTAT,70.379,72.085,75.709,78.637,83.611,86.869,91.572,96.937,102.213,99.142,100,100.96,100.13,102.483,103.665,108.106,111.611,115.232,119.644,123.097,119.386,128.21,133.629,136.295,140.693,NA
Gross domestic product at market prices,Montenegro,"Chain linked volumes, index 2010=100",MNE_YER_ESTAT,NA,NA,NA,NA,NA,NA,90.374,96.824,103.504,97.299,100,103.41,100.838,104.252,106.723,109.416,113.179,116.82,122.349,127.725,108.575,122.74,132.24,140.807,145.262,NA
Gross domestic product at market prices,North Macedonia,"Chain linked volumes, index 2010=100",MKD_YER_ESTAT,74.6,72.312,73.392,75.023,78.53,82.239,86.464,92.061,97.099,96.75,100,102.34,101.873,104.853,108.659,112.848,116.063,117.318,120.697,125.417,119.537,124.929,128.375,131.655,135.597,NA
Gross domestic product at market prices,Albania,"Chain linked volumes, index 2010=100",ALB_YER_ESTAT,59.005,64.235,67.208,70.792,74.52,78.344,83.059,88.458,94.568,97.113,100,102.464,103.472,105.238,107.596,109.993,114.292,118.045,122.379,124.903,120.764,131.596,137.948,143.487,149.292,NA
Gross domestic product at market prices,Serbia,"Chain linked volumes, index 2010=100",SRB_YER_ESTAT,64.168,68.518,73,76.328,81.432,86.239,89.603,96.621,101.608,98.415,100,100.054,99.61,100.06,98.255,99.528,102.489,104.911,109.789,115.004,113.911,122.966,126.291,131.024,136.199,NA
Gross domestic product at market prices,Turkey,"Chain linked volumes, index 2010=100",TUR_YER_ESTAT,66.79,63.144,67.208,71.105,78.163,85.284,91.312,95.976,96.859,92.13,100,110.98,116.315,126.189,131.994,139.657,144.299,155.592,160.988,163.083,166.024,185.633,195.734,205.609,212.451,NA
Gross domestic product at market prices,Ukraine,"Chain linked volumes, index 2010=100",UKR_YER_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,105.466,105.717,105.689,98.764,89.111,91.287,93.441,96.701,99.794,96.049,99.359,70.785,74.702,NA,NA
Final consumption expenditure of general government,Belgium,"Chain linked volumes, index 2010=100",BEL_GCR_ESTAT,83.923,85.706,88.527,90.18,92.348,92.684,93.374,95.172,98.122,99.751,100,100.44,101.569,101.809,103.164,103.495,103.392,103.775,105.25,107.388,107.159,111.622,115.148,118.251,120.363,NA
Final consumption expenditure of general government,Bulgaria,"Chain linked volumes, index 2010=100",BGR_GCR_ESTAT,84.331,85.166,85.594,92.495,96.913,97.638,103.132,102.082,104.018,97.918,100,102.337,100.456,101.112,101.026,102.845,105.098,109.601,115.461,117.777,127.594,128.225,138.451,139.984,145.053,NA
Final consumption expenditure of general government,Czechia,"Chain linked volumes, index 2010=100",CZE_GCR_ESTAT,81.004,83.091,89.751,94.899,93.215,94.318,94.917,95.537,96.839,99.451,100,96.213,94.102,96.408,97.612,99.331,101.76,103.522,107.191,110.005,114.551,116.238,116.677,120.408,124.186,NA
Final consumption expenditure of general government,Denmark,"Chain linked volumes, index 2010=100",DNK_GCR_ESTAT,83.039,84.616,86.421,86.639,87.97,89.161,91.466,92.553,95.593,98.398,100,99.418,100.262,100.25,102.266,104.358,104.419,105.423,105.869,106.915,104.915,110.059,107.452,107.699,108.734,NA
Final consumption expenditure of general government,Germany,"Chain linked volumes, index 2010=100",DEU_GCR_ESTAT,87.164,87.478,88.683,89.247,88.758,89.26,90.364,92.058,95.546,98.419,100,100.991,102.284,103.94,105.797,108.833,113.187,114.994,116.173,119.573,125.471,129.398,130.176,129.912,133.25,135.194
